Index,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Steering,Power_Windows,Power,Torque,Speedometer,Type,Wheelbase,Wheels_Size,Basic_Warranty,Ventilation_System,Column1,_1,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Airbags,Number_of_Airbags,Compression_Ratio,Parking_Assistance,Average_Speed,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57
978,Kia,Seltos,Htx Plus 1.5 Diesel,"Rs. 15,34,000",1493 cc,,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,60 litres,Diesel,1645 mm,4315 mm,1800 mm,SUV,5,,,20 km/litre,,,6,190 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,115PS@4000RPM,250Nm@1500-2750rpm,Analog,Manual,2610 mm,215/60 R17,,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",4,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Kia,Seltos,Htx Plus At 1.5 Diesel,"Rs. 16,34,000",1493 cc,,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,60 litres,Diesel,1645 mm,4315 mm,1800 mm,SUV,5,,,20 km/litre,,,6,190 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,115PS@4000RPM,250Nm@1500-2750rpm,Analog,Automatic,2610 mm,,,Fully automatic climate control,,,Yes,,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Kia,Seltos,Gtk 1.4,"Rs. 13,79,000",1353 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,50 litres,Petrol,1645 mm,4315 mm,1800 mm,SUV,5,,,16.1 km/litre,,,6,190 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,140PS@6000RPM,242Nm@1500-3200rpm,Analog,Manual,2610 mm,215/60 R17,,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Kia,Seltos,Gtx 1.4,"Rs. 15,29,000",1353 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,50 litres,Petrol,1645 mm,4315 mm,1800 mm,SUV,5,,,16.1 km/litre,,,6,190 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,140PS@6000RPM,242Nm@1500-3200rpm,"Analog, Digital",Manual,2610 mm,215/60 R17,,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",4,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Kia,Seltos,Gtx At 1.4,"Rs. 16,29,000",1353 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,50 litres,Petrol,1645 mm,4315 mm,1800 mm,SUV,5,,,16.5 km/litre,,,7,190 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,140PS@6000RPM,242Nm@1500-3200rpm,Analog,DCT,2610 mm,215/60 R17,,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",4,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Kia,Seltos,Gtx Plus 1.4,"Rs. 16,29,000",1353 cc,4,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,50 litres,Petrol,1645 mm,4315 mm,1800 mm,SUV,5,,,16.1 km/litre,,,6,190 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,140PS@6000RPM,242Nm@1500-3200rpm,Analog,Manual,2610 mm,215/60 R17,,Fully automatic climate control,,,Yes,,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",4,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Kia,Seltos,Htx 1.5 Diesel,"Rs. 14,14,000",1493 cc,,,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,60 litres,Diesel,1645 mm,4315 mm,1800 mm,SUV,5,,,20 km/litre,,,6,190 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,115PS@4000RPM,250Nm@1500-2750rpm,Analog,Manual,2610 mm,215/60 R17,,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Front passenger side airbag",4,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Tata,Safari Storme,2.2 Lx 4X2,"Rs. 11,09,005",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,63 litres,Diesel,1922 mm,4655 mm,1855 mm,SUV,5,10.8 km/litre,14 km/litre,14 km/litre,,2000 kg,5,200 mm,Ventilated Disc,Drum,Hydraulic Power,All Windows,150PS@4000rpm,320Nm@1700-2700rpm,Analog,Manual,2650 mm,235/70R16,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,2505 kg,,,17.2:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Tata,Safari Storme,2.2 Ex 4X2,"Rs. 13,35,158",2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,63 litres,Diesel,1922 mm,4655 mm,1965 mm,SUV,5,10.8 km/litre,14 km/litre,14 km/litre,,2000 kg,5,200 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,All Windows,150PS@4000rpm,320Nm@1700-2700rpm,Analog,Manual,2650 mm,235/70R16,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,2555 kg,,,17.2:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Tata,Safari Storme,2.2 Vx 4X2 Varicor 400,"Rs. 14,79,574",2179 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,63 litres,Diesel,1922 mm,4655 mm,1965 mm,SUV,5,10.8 km/litre,13 km/litre,14.1 km/litre,,2095 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,156PS@4000rpm,400Nm@1750-2500rpm,Analog,Manual,2650 mm,235/70R16,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,2570 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Tata,Safari Storme,2.2 Vx 4X4 Varicor 400,"Rs. 16,43,829",2179 cc,4,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,63 litres,Diesel,1922 mm,4655 mm,1965 mm,SUV,5,"13,93 km/litre",,14.1 km/litre,,2095 kg,6,200 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,156PS@4000rpm,400Nm@1750-2500rpm,Analog,Manual,2650 mm,235/70R16,3 years /100000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,Yes,2650 kg,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Tata,Nexon Ev,Xm,"Rs. 13,99,000",,,,FWD (Front Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,,Electric,1607 mm,3994 mm,1811 mm,SUV,5,,,,,,,205 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,129PS,245Nm,Digital,Automatic,2498 mm,,8 yrs/1.6L kmBattery Warranty,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Tata,Nexon Ev,Xz Plus,"Rs. 14,99,000",,,,FWD (Front Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,,Electric,1607 mm,3994 mm,1811 mm,SUV,5,,,,,,,205 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,129PS,245Nm,Digital,Automatic,2498 mm,,8 yrs/1.6L kmBattery Warranty,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Tata,Nexon Ev,Xz Plus Lux,"Rs. 15,99,000",,,,FWD (Front Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,,Electric,1607 mm,3994 mm,1811 mm,SUV,5,,,,,,,205 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,129PS,245Nm,Digital,Automatic,2498 mm,,8 yrs/1.6L kmBattery Warranty,Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Petrol,1465 mm,4620 mm,1800 mm,Sedan,4,13.1 km/litre,14.6 km/litre,14.6 km/litre,,,6,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,152PS@6200rpm,196Nm@4000rpm,Analog,Manual,2700 mm,205/60R16,,Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",6,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Hyundai,Elantra,Sx,"Rs. 18,49,000",1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Petrol,1465 mm,4620 mm,1800 mm,Sedan,4,13.1 km/litre,14.6 km/litre,14.6 km/litre,,,6,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,152PS@6200rpm,196Nm@4000rpm,Analog,Manual,2700 mm,205/60R16,,2 Zone Climate Control,,,Yes,,"Driver curtain airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag",6,,"Rear sensors, Rear sensors with camera",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Hyundai,Elantra,Sx At,"Rs. 19,49,000",1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Petrol,1465 mm,4620 mm,1800 mm,Sedan,4,13.1 km/litre,14.6 km/litre,14.6 km/litre,,,6,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,152PS@6200rpm,196Nm@4000rpm,Analog,AMT,2700 mm,205/60R16,,2 Zone Climate Control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",6,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Hyundai,Elantra,Sx(O) At,"Rs. 20,39,000",1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Petrol,1465 mm,4620 mm,1800 mm,Sedan,4,13.1 km/litre,14.6 km/litre,14.6 km/litre,,,6,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,152PS@6200rpm,196Nm@4000rpm,"Analog, Digital",AMT,2700 mm,205/60R16,,2 Zone Climate Control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Hyundai,Tucson,2Wd Mt Diesel,"Rs. 20,79,717",1995 cc,4,4,4WD,In-line,BS IV,"Front, Longitudinal",Injection,62 litres,Diesel,1660 mm,4475 mm,1850 mm,SUV,5,"16,38 km/litre",18.42 km/litre,18.42 km/litre,,,5,,Ventilated Disc,Solid Disc,Electric Power,All Windows,185PS@4000rpm,400NM@1750rpm,Analog,Manual,2670 mm,225/55 R17,,Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Hyundai,Tucson,2Wd Mt Petrol,"Rs. 18,76,656",1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,62 litres,Petrol,1660 mm,4475 mm,1850 mm,SUV,5,"13,3 km/litre",13.03 km/litre,13.03 km/litre,,,5,,Ventilated Disc,Solid Disc,Electric Power,All Windows,155PS@6200rpm,192NM@4000rpm,Analog,Manual,2670 mm,225 / 60 R17,,Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Hyundai,Tucson,2Wd At Gl Diesel,"Rs. 23,64,354",1995 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,62 litres,Diesel,1660 mm,4475 mm,1850 mm,SUV,5,"16,38 km/litre",16.38 km/litre,16.38 km/litre,,,5,,Ventilated Disc,Solid Disc,Electric Power,All Windows,185PS@4000rpm,400NM@1750rpm,Analog,Automatic,2670 mm,225/55 R18,,2 Zone Climate Control,,,Yes,,"Curtain airbags, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Hyundai,Tucson,2Wd At Gl Petrol,"Rs. 21,87,384",1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,62 litres,Petrol,1660 mm,4475 mm,1850 mm,SUV,5,"13,3 km/litre",12.95 km/litre,12.95 km/litre,,,5,,Ventilated Disc,Solid Disc,Electric Power,All Windows,155PS@6200rpm,192NM@4000rpm,Analog,Automatic,2670 mm,225/55 R18,,2 Zone Climate Control,,,Yes,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Hyundai,Tucson,4Wd At Gls Diesel,"Rs. 26,97,417",1995 cc,4,4,4WD,In-line,BS IV,"Front, Longitudinal",Injection,62 litres,Diesel,1660 mm,4475 mm,1850 mm,SUV,5,16.38 km/litre,16.38 km/litre,16.38 km/litre,,,5,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,185PS@4000rpm,400NM@1750rpm,Analog,Automatic,2670 mm,225/55 R18,,2 Zone Climate Control,,,Yes,,"Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Hyundai,Tucson,2Wd At Gls Petrol,"Rs. 23,73,522",1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,62 litres,Petrol,1660 mm,4475 mm,1850 mm,SUV,5,13.3 km/litre,12.95 km/litre,12.95 km/litre,,,5,,Ventilated Disc,Solid Disc,Electric Power,All Windows,155PS@6200rpm,192NM@4000rpm,Analog,Automatic,2670 mm,225/55 R18,,2 Zone Climate Control,,,Yes,,"Front passenger side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Hyundai,Tucson,2Wd At Gl(O) Petrol,"Rs. 22,46,749",1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,62 litres,Petrol,1660 mm,4475 mm,1850 mm,SUV,5,13.3 km/litre,12.95 km/litre,12.95 km/litre,,,5,,Ventilated Disc,Solid Disc,Electric Power,All Windows,155PS@6200rpm,192NM@4000rpm,Analog,Automatic,2670 mm,225/55 R18,,2 Zone Climate Control,,,Yes,,"Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Curtain airbags, Driver frontal airbag",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Hyundai,Tucson,2Wd At Gl(O) Diesel,"Rs. 24,23,720",1995 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,62 litres,Diesel,1660 mm,4475 mm,1850 mm,SUV,5,16.38 km/litre,16.38 km/litre,16.38 km/litre,,,5,,Ventilated Disc,Solid Disc,Electric Power,All Windows,185PS@4000rpm,400NM@1750rpm,Analog,Automatic,2670 mm,225/55 R18,,2 Zone Climate Control,,,Yes,,"Front passenger side airbag, Curtain airbags, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Toyota,Prius,Z8,"Rs. 45,09,000",1798 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43 litres,Hybrid,1490 mm,4540 mm,1760 mm,Sedan,4,15.1 km/litre,18.7 km/litre,23.9 km/litre,,,5,165 mm,Ventilated Disc,Solid Disc,Electro-Hydraulic,All Windows,98PS@5200rpm,142Nm@3600rpm,Analog,Automatic,2700 mm,R15,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,1790 kg,"Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag, Curtain airbags, Driver frontal airbag",7,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Jaguar,F-Pace,Prestige,"Rs. 64,63,780",1999 cc,4,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,60 litres,Diesel,1651 mm,4731 mm,2175 mm,SUV,5,21.27 km/litre,,16.38 km/litre,,1830 kg,,213 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,180ps@5500rpm,430Nm@1750-2000rpm,Digital,Automatic,2874 mm,255/60 R18,,2 Zone Climate Control,,,Yes,2460 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger curtain airbag, Rear passenger curtain airbags",6,15.5+/-0.5,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Jaguar,F-Pace,Prestige Petrol,"Rs. 64,22,809",1997 cc,4,4,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,60 litres,Petrol,1651 mm,4731 mm,2175 mm,SUV,5,,,21.27 km/litre,,1830 kg,,213 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,247bhp@5500rpm,369Nm@1300-4000rpm,Digital,Automatic,2874 mm,255/60 R18,,2 Zone Climate Control,,,Yes,2460 kg,"Curtain airbags, Driver frontal airbag, Front passenger curtain airbag, Front passenger frontal airbag, Rear passenger curtain airbags",6,15.5+/-0.5,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Maruti Suzuki,Alto 800 Tour,H1,"Rs. 3,54,235",796 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3430 mm,1490 mm,Hatchback,5,18 km/litre,23 km/litre,23.7 km/litre,,720 kg,5,160 mm,Solid Disc,Drum,Electric Power,Only Front Windows,48PS@6000rpm,69Nm@3500rpm,Analog,Manual,2360 mm,145/80R12,2 years /40000 Kms (years/distance whichever comes first),Manual Air conditioning with cooling and heating,,,,1185 kg,,,10.3:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Maruti Suzuki,Alto 800 Tour,H1 (O),"Rs. 3,56,559",796 cc,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3395 mm,1490 mm,Hatchback,5,18 km/litre,23 km/litre,24.7 km/litre,,720 kg,5,160 mm,Solid Disc,Drum,Yes,Only Front Windows,48PS@6000rpm,69Nm@3500rpm,Analog,Manual,2360 mm,145/80R12,,Manual Air conditioning with cooling and heating,,,,1185 kg,Driver frontal airbag,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Hyundai,Grand I10 Nios,Magna 1.2 Crdi,"Rs. 6,75,090",1186 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37 litres,Diesel,1520 mm,3805 mm,1680 mm,Hatchback,5,20.7 km/litre,,20.7 km/litre,,,5,,Ventilated Disc,Drum,Electric Power,All Windows,75PS@4000rpm,190NM@1750-2250RPM,"Analog, Digital",Manual,2450 mm,165/70R14,"3 years / 100,000 Km of warranty**",Manual Air conditioning with cooling and heating,,,Yes,,"Front passenger frontal airbag, Driver frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Hyundai,Grand I10 Nios,Era 1.2 Vtvt,"Rs. 5,04,990",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37 litres,Petrol,1520 mm,3805 mm,1680 mm,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,Only Front Windows,83PS@6000rpm,114Nm@4000rpm,Analog,Manual,2450 mm,165/70R14,"3 years / 100,000 Km of warranty**",Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Hyundai,Grand I10 Nios,Magna 1.2 Vtvt,"Rs. 5,89,610",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37 litres,Petrol,1520 mm,3805 mm,1680 mm,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,83PS@6000rpm,114Nm@4000rpm,Analog,Manual,2450 mm,165/70R14,"3 years / 100,000 Km of warranty**",Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Hyundai,Grand I10 Nios,Magna Amt 1.2 Vtvt,"Rs. 6,42,610",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37 litres,Petrol,1520 mm,3805 mm,1680 mm,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,83PS@6000rpm,114Nm@4000rpm,Analog,Automatic,2450 mm,165/70R14,"3 years / 100,000 Km of warranty**",Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Hyundai,Grand I10 Nios,Sportz 1.2 Vtvt,"Rs. 6,43,350",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37 litres,Petrol,1520 mm,3805 mm,1680 mm,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,83PS@6000rpm,114Nm@4000rpm,Analog,Manual,2450 mm,165/70R14,"3 years / 100,000 Km of warranty**",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Hyundai,Grand I10 Nios,Sportz Amt 1.2 Vtvt,"Rs. 7,03,350",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37 litres,Petrol,1520 mm,3805 mm,1680 mm,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,83PS@6000rpm,114Nm@4000rpm,Analog,Automatic,2450 mm,165/70R14,"3 years / 100,000 Km of warranty**",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Hyundai,Grand I10 Nios,Sportz Dual Tone 1.2 Vtvt,"Rs. 6,73,350",1197 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37 litres,Petrol,1520 mm,3805 mm,1680 mm,Hatchback,5,,,20.7 km/litre,,935 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,All Windows,83PS@6000rpm,114Nm@4000rpm,Analog,Manual,2450 mm,175/60R15,"3 years / 100,000 Km of warranty**",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
